baseprice;currency;name;quantity;itemid;color;size
95;1;SHOES (BAD DESCRIPTION);100;33;17;10
95;1;SHOES (BAD DESCRIPTION);100;33;17;11
120;1;SHOES (BAD DESCRIPTION);100;34;17;10
49;1;SHOES (BAD DESCRIPTION);100;34;17;11
70;1;SHOES (BAD DESCRIPTION);100;35;17;10
49;1;SHOES (BAD DESCRIPTION);100;35;17;11
70;1;SHOES (BAD DESCRIPTION);100;36;17;10
75;1;SHOES (BAD DESCRIPTION);100;36;17;11
60;1;SHOES (BAD DESCRIPTION);100;37;17;10
49;1;SHOES (BAD DESCRIPTION);100;37;17;11
75;1;SHOES (BAD DESCRIPTION);100;38;17;10
70;1;SHOES (BAD DESCRIPTION);100;38;17;11
120;1;SHOES (BAD DESCRIPTION);100;39;17;10
95;1;SHOES (BAD DESCRIPTION);100;39;17;11
70;1;SHOES (BAD DESCRIPTION);100;40;17;10
60;1;SHOES (BAD DESCRIPTION);100;40;17;11
75;1;SHOES (BAD DESCRIPTION);100;43;17;10
49;1;SHOES (BAD DESCRIPTION);100;43;17;11
75;1;SHOES (BAD DESCRIPTION);100;55;17;10
99;1;SHOES (BAD DESCRIPTION);100;55;17;11
95;1;SHOES (BAD DESCRIPTION);100;56;17;10
110;1;SHOES (BAD DESCRIPTION);100;56;17;11
